PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Travis Kelce,2540258,TE,KC,,,,-5,,85,1125,4,,,1,,2.38,1,85,86,85,117,73,18,10,8,1,180.50
Greg Olsen,2495700,TE,FA,,,,,,80,1073,3,,,1,,,,,,,,,,,,2,170.70
Jimmy Graham,497236,TE,CHI,,,,,,65,923,6,,,,2,3.13,1,65,66,65,95,68,20,8,3,3,158.50
Zach Ertz,2540158,TE,ARI,,,,,,78,816,4,,,,,2.83,,78,78,78,106,74,17,8,5,4,146.30
Cameron Brate,2550656,TE,TB,,,,,,57,660,8,,,,1,2.23,,57,57,57,81,70,17,11,6,5,144.70
Jordan Reed,2540160,TE,FA,,,,,,66,686,6,,,,1,,,,,,,,,,,6,135.60
Jason Witten,2505629,TE,FA,,,,,,69,673,3,,,,1,,,,,,,,,,,7,122.90
Jack Doyle,2540232,TE,IND,,,,,,59,584,5,,,,1,4.04,,59,59,59,75,79,13,10,6,8,121.00
Eric Ebron,2543466,TE,PIT,,,,1,1,61,711,1,,,,,2.69,1,61,62,61,85,72,6,6,2,9,115.40
Tyler Eifert,2540148,TE,FA,,,,,,29,394,5,,,,,,,,,,,,,,,10,85.60
Rob Gronkowski,497240,TE,TB,,,,,,25,540,3,,,,,2.23,,25,25,25,38,66,6,3,3,11,84.50
Ryan Griffin,2541316,TE,NYJ,,,,,,50,442,2,,,,1,,,,,,,,,,,12,82.60
Vance McDonald,2540215,TE,FA,,,,,,24,391,4,,,,,,,,,,,,,,,13,75.90
Jesse James,2552633,TE,CHI,,,,,,39,338,3,,,,,3.13,,39,39,39,60,65,13,8,4,14,74.70
Trey Burton,2550284,TE,FA,,,,,,37,327,1,,,,,,,,,,,,,,,15,74.40
Jared Cook,71265,TE,LAC,,,,,,30,377,1,,,,1,,,,,,,,,,,16,59.40
Richard Rodgers,2550313,TE,PHI,,,,,,30,271,2,,,,,2.51,,30,30,30,47,64,7,4,4,17,57.50
Austin Hooper,2555415,TE,CLE,,,,,,19,271,3,,,,,1.48,,19,19,19,27,70,5,3,3,18,55.40
Levine Toilolo,2540203,TE,NYG,,,,,,13,264,2,,,,,2.06,,13,13,13,19,68,1,,,19,49.10
Demetrius Harris,2541187,TE,ARI,,,,,,17,123,1,,,1,1,2.83,,17,17,17,31,55,5,2,2,20,39.50
Darren Waller,2552408,TE,LV,,,,,,10,85,2,,,,,2.93,,10,10,10,17,59,7,3,3,21,35.70
Luke Willson,2541199,TE,FA,,,,,,15,129,2,,,,,,,,,,,,,,,22,34.90
Josh Hill,2541834,TE,FA,,,,,,15,149,1,,,,,,,,,,,,,,,23,34.30
Seth DeValve,2556365,TE,FA,,,,,,10,127,2,,,,,,,,,,,,,,,24,33.10
Marcedes Lewis,2495888,TE,GB,,,,,,20,169,1,,,,,4.36,,20,20,20,30,67,4,3,2,25,32.90
Darren Fells,2540928,TE,TB,,,,,,14,154,1,,,,,2.23,,14,14,14,18,78,3,1,2,26,28.40
Daniel Brown,2553900,TE,KC,,,,,,16,124,1,,,,,2.38,,16,16,16,20,80,5,3,3,27,26.40
Tyler Kroft,2552586,TE,NYJ,,,,,,10,92,,,,,,,,,,,,,,,,28,26.00
Stephen Anderson,2556463,TE,LAC,,,,,,11,93,1,,,,,,,,,,,,,,,29,25.00
Tyler Higbee,2555364,TE,LA,,,,,,11,85,1,,,,,,,,,,,,,,,30,23.40
Blake Bell,2552478,TE,KC,,,,,,4,85,,,,,,2.38,,4,4,4,9,44,2,1,,31,18.00
James O'Shaughnessy,2553318,TE,JAX,,,,,,2,-1,,,,,,2.98,,2,2,2,3,67,,,,32,13.70
Geoff Swaim,2553454,TE,TEN,,,,,,6,69,,,,,,3.04,,6,6,6,8,75,,,,33,9.90
Luke Stocker,2495234,TE,MIN,,,,,,5,23,,,,,,1.83,,5,5,5,8,63,,,,34,6.50
Lee Smith,2495347,TE,ATL,,,,,,6,29,,,,,,,,,,,,,,,,35,5.90
Nick Vannett,2555289,TE,NO,,,,,,3,32,,,,,,3.83,,3,3,3,4,75,,,,36,4.70
