PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Brandon Aubrey,2571750,K,DAL,ARI,2.58,0.07,,0.48,0.54,0.61,0.61,,,0.07,10.78,1,1,0.00,-10.78
Mike Badgley,2560965,K,IND,@PIT,2.45,0.17,,0.35,0.52,0.61,0.17,,,0.09,7.66,19,2,0.00,-7.66
Tyler Bass,2563596,K,BUF,KC,3,0.13,,0.38,0.5,0.5,0.25,,,0.06,8.31,10,3,0.00,-8.31
Jake Bates,2571759,K,DET,MIN,3.2,0.14,,0.34,0.54,0.54,0.41,,,0.07,9.42,3,4,0.00,-9.42
Andy Borregales,2574365,K,NE,ATL,1.97,0.11,,0.34,0.45,0.45,0.17,,,0.06,6.49,27,5,0.00,-6.49
Chris Boswell,2550545,K,PIT,IND,2.13,0.06,,0.44,0.56,0.5,0.38,,,,8.72,7,6,0.00,-8.72
Harrison Butker,2558245,K,KC,@BUF,2.84,0.13,0.07,0.4,0.53,0.46,0.4,,,,9.16,4,7,0.00,-9.16
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,,29,8,0.00,
Daniel Carlson,2560993,K,LV,JAX,2.15,0.06,,0.44,0.44,0.51,0.44,,,,8.72,8,9,0.00,-8.72
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,,30,10,0.00,
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,,31,11,0.00,
Cameron Dicker,2568435,K,LAC,@TEN,2.56,0.13,0.07,0.39,0.59,0.59,0.39,,,,9.56,2,12,0.00,-9.56
Jake Elliott,2558172,K,PHI,Bye,,,,,,,,,,,,32,13,0.00,
Ka'imi Fairbairn,2556521,K,HOU,DEN,2.14,0.12,,0.4,0.52,0.46,0.35,,,0.06,7.95,14,14,0.00,-7.95
Ryan Fitzgerald,2573979,K,CAR,@GB,1.8,0.06,,0.34,0.51,0.45,0.17,,,0.06,6.65,25,15,0.00,-6.65
Nick Folk,2507225,K,NYJ,Bye,,,,,,,,,,,,33,16,0.00,
Graham Gano,71309,K,NYG,SF,1.81,0.13,,0.38,0.5,0.44,0.25,,,0.06,6.88,24,17,0.00,-6.88
Matt Gay,2562271,K,WAS,SEA,2.75,0.13,,0.44,0.5,0.44,0.31,,,0.06,8.30,11,18,0.00,-8.3
Zane Gonzalez,2558178,K,FA,Bye,,,,,,,,,,,,34,19,0.00,
Blake Grupe,2571234,K,NO,@LAR,1.74,0.11,,0.34,0.45,0.39,0.28,,,,6.63,26,20,0.00,-6.63
Alex Hale,2573890,K,FA,Bye,,,,,,,,,,,,35,21,0.00,
Lucas Havrisik,2569534,K,GB,CAR,,,,,,,,,,,0.00,36,22,0.00,0.0
Dustin Hopkins,2539227,K,FA,Bye,,,,,,,,,,,,37,23,0.00,
John Hoyland,2573932,K,FA,Bye,,,,,,,,,,,,38,24,0.00,
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,,39,25,0.00,
Joshua Karty,2572201,K,LAR,NO,2.34,0.14,,0.48,0.55,0.55,0.34,,,0.07,8.70,9,26,0.00,-8.7
Jonathan Kim,2574013,K,FA,Bye,,,,,,,,,,,,40,27,0.00,
Younghoe Koo,2559205,K,NYG,SF,,,,,,,,,,,0.00,41,28,0.00,0.0
Lenny Krieg,2573911,K,ATL,@NE,,,,,,,,,,,0.00,42,29,0.00,0.0
Cam Little,2572147,K,JAX,@LV,2.43,0.13,,0.46,0.53,0.46,0.33,,,0.07,8.30,12,30,0.00,-8.3
Tyler Loop,2573940,K,BAL,@MIA,3.1,0.21,,0.34,0.55,0.62,0.28,,,0.07,8.81,5,31,0.00,-8.81
Wil Lutz,2556601,K,DEN,@HOU,2.14,0.12,,0.42,0.48,0.42,0.36,,,0.06,7.78,17,32,0.00,-7.78
Jude McAtamney,2573503,K,NYG,SF,,,,,,,,,,,0.00,43,33,0.00,0.0
Chase McLaughlin,2563203,K,TB,Bye,,,,,,,,,,,,44,34,0.00,
Brandon McManus,2541556,K,GB,CAR,2.44,0.14,,0.47,0.54,0.54,0.34,,,,8.77,6,35,0.00,-8.77
Mark McNamee,2574637,K,FA,Bye,,,,,,,,,,,,45,36,0.00,
Evan McPherson,2565953,K,CIN,CHI,2.69,0.13,,0.38,0.5,0.5,0.31,,,0.06,8.30,13,37,0.00,-8.3
Harrison Mevis,2572932,K,FA,Bye,,,,,,,,,,,,46,38,0.00,
Jake Moody,2570308,K,CHI,@CIN,,,,,,,,,,,0.00,47,39,0.00,0.0
Jason Myers,2553112,K,SEA,@WAS,2.06,0.13,,0.44,0.5,0.5,0.25,,,0.06,7.55,21,40,0.00,-7.55
Riley Patterson,2567013,K,MIA,BAL,2.6,0.2,,0.4,0.6,0.4,0.2,,,0.2,7.40,22,41,0.00,-7.4
Eddy Pineiro,2560842,K,SF,@NYG,2.21,0.25,,0.25,0.74,0.49,0.25,,,,7.64,20,42,0.00,-7.64
Matt Prater,2506677,K,BUF,KC,,,,,,,,,,,0.00,48,43,0.00,0.0
Will Reichard,2572273,K,MIN,@DET,2.23,0.12,,0.36,0.48,0.48,0.36,,,0.06,7.93,15,44,0.00,-7.93
John Parker Romo,2569101,K,ATL,@NE,2.33,0.33,,0.33,0.67,0.33,0.33,,,,7.31,23,45,0.00,-7.31
Chad Ryland,2570125,K,ARI,@DAL,2.13,0.13,,0.38,0.5,0.5,0.31,,,0.06,7.74,18,46,0.00,-7.74
Jason Sanders,2561153,K,MIA,BAL,,,,,,,,,,,0.00,49,47,0.00,0.0
Cairo Santos,2550636,K,CHI,@CIN,1.94,0.06,,0.44,0.5,0.56,0.25,,,0.06,7.88,16,48,0.00,-7.88
Ben Sauls,2574499,K,ATL,@NE,,,,,,,,,,,0.00,50,49,0.00,0.0
Spencer Shrader,2573175,K,IND,@PIT,,,,,,,,,,,0.00,51,50,0.00,0.0
Joey Slye,2563132,K,TEN,LAC,1.66,0.11,,0.34,0.4,0.4,0.29,,,0.06,6.43,28,51,0.00,-6.43
Charlie Smyth,2572330,K,NO,@LAR,,,,,,,,,,,0.00,52,52,0.00,0.0
Andre Szmyt,2570470,K,CLE,Bye,,,,,,,,,,,,53,53,0.00,
Maddux Trujillo,2574200,K,FA,Bye,,,,,,,,,,,,54,54,0.00,
Justin Tucker,2536340,K,FA,Bye,,,,,,,,,,,,55,55,0.00,
Matthew Wright,2562968,K,FA,Bye,,,,,,,,,,,,56,56,0.00,
Cade York,2567487,K,FA,Bye,,,,,,,,,,,,57,57,0.00,
Greg Zuerlein,2534797,K,FA,Bye,,,,,,,,,,,,58,58,0.00,
