PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Brandon Allen,2555365,QB,TEN,LAC,,,,,,,,,,,,,0.00,29,1,0.00,0.0
Josh Allen,2560955,QB,BUF,KC,229.28,1.73,0.71,35.61,0.59,,,,,0.01,,0.5,20.83,2,2,0.00,-20.83
Kyle Allen,2561177,QB,DET,MIN,,,,,,,,,,,,,0.00,30,3,0.00,0.0
Tyson Bagent,2570467,QB,CHI,@CIN,,,,,,,,,,,,,0.00,31,4,0.00,0.0
Connor Bazelak,2574581,QB,TB,Bye,,,,,,,,,,,,,,32,5,0.00,
Jason Bean,2573169,QB,FA,Bye,,,,,,,,,,,,,,33,6,0.00,
Stetson Bennett,2569939,QB,LAR,NO,,,,,,,,,,,,,0.00,34,7,0.00,0.0
Tim Boyle,2561187,QB,FA,Bye,,,,,,,,,,,,,,35,8,0.00,
Carter Bradley,2573208,QB,FA,Bye,,,,,,,,,,,,,,36,9,0.00,
Teddy Bridgewater,2543465,QB,TB,Bye,,,,,,,,,,,,,,37,10,0.00,
Jacoby Brissett,2555261,QB,ARI,@DAL,,,,,,,,,,,,,0.00,38,11,0.00,0.0
Max Brosmer,2574340,QB,MIN,@DET,,,,,,,,,,,,,0.00,39,12,0.00,0.0
Jake Browning,2562634,QB,CIN,CHI,,,,,,,,,,,,,0.00,40,13,0.00,0.0
Shane Buechele,2566983,QB,BUF,KC,,,,,,,,,,,,,0.00,41,14,0.00,0.0
Joe Burrow,2563722,QB,CIN,CHI,289.81,2.24,0.82,10.66,0.08,,,,,0.01,,0.49,19.54,4,15,0.00,-19.54
Sean Clifford,2569762,QB,FA,Bye,,,,,,,,,,,,,,42,16,0.00,
Brady Cook,2574435,QB,NYJ,Bye,,,,,,,,,,,,,,43,17,0.00,
Kirk Cousins,2532820,QB,ATL,@NE,,,,,,,,,,,,,0.00,44,18,0.00,0.0
Andy Dalton,2495143,QB,CAR,@GB,,,,,,,,,,,,,0.00,45,19,0.00,0.0
Jayden Daniels,2572564,QB,WAS,SEA,225.45,1.38,0.7,51.74,0.48,,,,,0.01,,0.5,20.25,3,20,0.00,-20.25
Sam Darnold,2561036,QB,SEA,@WAS,252.42,1.82,0.77,12.48,0.1,,,,,0.01,,0.53,16.68,10,21,0.00,-16.68
Jaxson Dart,2574419,QB,NYG,SF,,,,,,,,,,,,,0.00,46,22,0.00,0.0
Hunter Dekkers,2574397,QB,FA,Bye,,,,,,,,,,,,,,47,23,0.00,
Tommy DeVito,2570578,QB,NE,ATL,,,,,,,,,,,,,0.00,48,24,0.00,0.0
Ben DiNucci,2563839,QB,FA,Bye,,,,,,,,,,,,,,49,25,0.00,
Joshua Dobbs,2558167,QB,NE,ATL,,,,,,,,,,,,,0.00,50,26,0.00,0.0
Sam Ehlinger,2566142,QB,DEN,@HOU,,,,,,,,,,,,,0.00,51,27,0.00,0.0
Taylor Elgersma,2574129,QB,FA,Bye,,,,,,,,,,,,,,52,28,0.00,
Quinn Ewers,2574321,QB,MIA,BAL,,,,,,,,,,,,,0.00,53,29,0.00,0.0
Justin Fields,2565920,QB,NYJ,Bye,,,,,,,,,,,,,,54,30,0.00,
Joe Flacco,382,QB,CLE,Bye,,,,,,,,,,,,,,55,31,0.00,
Brett Gabbert,2574621,QB,FA,Bye,,,,,,,,,,,,,,56,32,0.00,
Dillon Gabriel,2574045,QB,CLE,Bye,,,,,,,,,,,,,,57,33,0.00,
Ethan Garbers,2573980,QB,FA,Bye,,,,,,,,,,,,,,58,34,0.00,
Jimmy Garoppolo,2543801,QB,LAR,NO,,,,,,,,,,,,,0.00,59,35,0.00,0.0
Jared Goff,2555334,QB,DET,MIN,265.75,1.84,0.8,6.3,0.1,,,,,0.01,,0.43,16.82,9,36,0.00,-16.82
Will Grier,2562404,QB,DAL,ARI,,,,,,,,,,,,,0.00,60,37,0.00,0.0
Jake Haener,2570131,QB,FA,Bye,,,,,,,,,,,,,,61,38,0.00,
Sam Hartman,2573599,QB,WAS,SEA,,,,,,,,,,,,,0.00,62,39,0.00,0.0
Taylor Heinicke,2553656,QB,FA,Bye,,,,,,,,,,,,,,63,40,0.00,
Seth Henigan,2574215,QB,JAX,@LV,,,,,,,,,,,,,0.00,64,41,0.00,0.0
Justin Herbert,2565045,QB,LAC,@TEN,219.88,1.47,0.53,14.89,0.18,,,,,,,0.35,15.48,16,42,0.00,-15.48
Hendon Hooker,2569744,QB,CAR,@GB,,,,,,,,,,,,,0.00,65,43,0.00,0.0
Will Howard,2574494,QB,PIT,IND,,,,,,,,,,,,,0.00,66,44,0.00,0.0
Sam Howell,2568333,QB,PHI,Bye,,,,,,,,,,,,,,67,45,0.00,
Tyler Huntley,2563560,QB,BAL,@MIA,,,,,,,,,,,,,0.00,68,46,0.00,0.0
Jalen Hurts,2564832,QB,PHI,Bye,,,,,,,,,,,,,,69,47,0.00,
Lamar Jackson,2560757,QB,BAL,@MIA,233.26,1.88,0.6,58.98,0.27,,,,,0.01,,0.64,21.95,1,48,0.00,-21.95
Josh Johnson,264,QB,WAS,SEA,,,,,,,,,,,,,0.00,70,49,0.00,0.0
Daniel Jones,2562299,QB,IND,@PIT,191.71,0.79,0.78,26.11,0.22,,,,,0.02,,0.93,11.46,27,50,0.00,-11.46
Emory Jones,2572796,QB,ATL,@NE,,,,,,,,,,,,,0.00,71,51,0.00,0.0
Mac Jones,2566334,QB,SF,@NYG,,,,,,,,,,,,,0.00,72,52,0.00,0.0
Case Keenum,2532888,QB,CHI,@CIN,,,,,,,,,,,,,0.00,73,53,0.00,0.0
Trey Lance,2566532,QB,LAC,@TEN,,,,,,,,,,,,,0.00,74,54,0.00,0.0
Trevor Lawrence,2566163,QB,JAX,@LV,242.39,1.34,0.73,15.94,0.17,,,,,0.01,,0.61,15.05,19,55,0.00,-15.05
Devin Leary,2571832,QB,FA,Bye,,,,,,,,,,,,,,75,56,0.00,
Riley Leonard,2574190,QB,IND,@PIT,,,,,,,,,,,,,0.00,76,57,0.00,0.0
Will Levis,2569798,QB,TEN,LAC,,,,,,,,,,,,,0.00,77,58,0.00,0.0
Drew Lock,2562305,QB,SEA,@WAS,,,,,,,,,,,,,0.00,78,59,0.00,0.0
Jordan Love,2564007,QB,GB,CAR,233.7,1.69,0.63,12.88,0.19,,,,,0.01,,0.41,16.52,11,60,0.00,-16.52
Patrick Mahomes,2558125,QB,KC,@BUF,245.09,1.68,0.86,21.99,0.11,,,,,0.01,,0.3,17.12,7,61,0.00,-17.12
Marcus Mariota,2552466,QB,WAS,SEA,,,,,,,,,,,,,0.00,79,62,0.00,0.0
Adrian Martinez,2570984,QB,SF,@NYG,,,,,,,,,,,,,0.00,80,63,0.00,0.0
Drake Maye,2572294,QB,NE,ATL,218.53,1.49,0.75,37.11,0.1,,,,,0.01,,0.62,16.33,13,64,0.00,-16.33
Baker Mayfield,2560800,QB,TB,Bye,,,,,,,,,,,,,,81,65,0.00,
J.J. McCarthy,2572270,QB,MIN,@DET,238.18,1.42,0.81,16.61,0.14,,,,,0.01,,0.49,15.17,17,66,0.00,-15.17
Kyle McCord,2574465,QB,PHI,Bye,,,,,,,,,,,,,,82,67,0.00,
Tanner McKee,2570206,QB,PHI,Bye,,,,,,,,,,,,,,83,68,0.00,
Graham Mertz,2574175,QB,HOU,DEN,,,,,,,,,,,,,0.00,84,69,0.00,0.0
Cam Miller,2574304,QB,LV,JAX,,,,,,,,,,,,,0.00,85,70,0.00,0.0
Davis Mills,2566136,QB,HOU,DEN,,,,,,,,,,,,,0.00,86,71,0.00,0.0
Jalen Milroe,2574570,QB,SEA,@WAS,,,,,,,,,,,,,0.00,87,72,0.00,0.0
Joe Milton III,2572297,QB,DAL,ARI,,,,,,,,,,,,,0.00,88,73,0.00,0.0
Gardner Minshew,2562796,QB,KC,@BUF,,,,,,,,,,,,,0.00,89,74,0.00,0.0
Tanner Mordecai,2573533,QB,FA,Bye,,,,,,,,,,,,,,90,75,0.00,
Nick Mullens,2558979,QB,JAX,@LV,,,,,,,,,,,,,0.00,91,76,0.00,0.0
Kyler Murray,2562382,QB,ARI,@DAL,234.97,1.44,0.79,39.03,0.24,,,,,0.01,,0.55,17.88,6,77,0.00,-17.88
Bo Nix,2572003,QB,DEN,@HOU,226.55,1.57,0.87,25.08,0.19,,,,,0.01,,0.43,16.45,12,78,0.00,-16.45
Aidan O'Connell,2570044,QB,LV,JAX,,,,,,,,,,,,,0.00,92,79,0.00,0.0
Chris Oladokun,2568153,QB,KC,@BUF,,,,,,,,,,,,,0.00,93,80,0.00,0.0
