PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Myles Adams,2563620,DL,DET,@LAR,,,,,,,,,,,,,,,,,,0.00,228,1,0.00,0.0
Adetomiwa Adebawore,2569843,DL,IND,@SEA,0.12,0.24,0.09,,,0.06,,,,,,,,,0.18,,,0.80,189,2,0.00,-0.8
McTelvin Agim,2563872,DL,FA,Bye,,,,,,,,,,,,,,,,,,,229,3,0.00,
Tommy Akingbesote,2574066,DL,BUF,@NE,,,,,,,,,,,,,,,,,,0.00,230,4,0.00,0.0
Darius Alexander,2574412,DL,NYG,WAS,0.18,0.24,0.06,0.12,,,,,,,,,,,,,,0.71,199,5,0.00,-0.71
Deslin Alexandre,2570593,DL,FA,Bye,,,,,,,,,,,,,,,,,,,231,6,0.00,
Jaylon Allen,2573076,DL,FA,Bye,,,,,,,,,,,,,,,,,,,232,7,0.00,
Jonathan Allen,2557844,DL,MIN,@DAL,1.91,0.79,0.39,0.45,,,,,,,,,,0.06,0.9,,,5.39,28,8,0.00,-5.39
Zach Allen,2562219,DL,DEN,GB,1.8,1.62,0.45,0.72,,,,,,,,,,0.12,1.5,,,6.70,11,9,0.00,-6.7
Bradlee Anae,2563821,DL,FA,Bye,,,,,,,,,,,,,,,,,,,233,10,0.00,
Evan Anderson,2573524,DL,SF,TEN,,,,,,,,,,,,,,,,,,0.00,234,11,0.00,0.0
Will Anderson Jr.,2569834,DL,HOU,ARI,1.8,0.66,0.6,0.9,,0.12,0.06,,,,,,,0.06,1.32,,,6.94,10,12,0.00,-6.94
Felix Anudike-Uzomah,2569930,DL,KC,LAC,0.71,0.59,0.18,0.29,,0.06,,,,,,,,,0.41,,,2.63,123,13,0.00,-2.63
Arik Armstead,2552493,DL,JAX,NYJ,1.12,0.35,0.09,0.12,,,,,,,,,,0.06,0.29,,,2.55,126,14,0.00,-2.55
Dorance Armstrong,2560959,DL,WAS,@NYG,,,,,,,,,,,,,,,,,,0.00,235,15,0.00,0.0
Popo Aumavae,2573656,DL,CAR,@NO,,,,,,,,,,,,,,,,,,0.00,236,16,0.00,0.0
Denico Autry,2550646,DL,HOU,ARI,1.12,0.53,0.29,0.41,,0.06,0.06,,0.06,,,,,0.24,0.71,,0.06,4.66,46,17,0.00,-4.66
Eric Banks,2564325,DL,FA,Bye,,,,,,,,,,,,,,,,,,,237,18,0.00,
Ricky Barber,2574605,DL,WAS,@NYG,,,,,,,,,,,,,,,,,,0.00,238,19,0.00,0.0
Christian Barmore,2566328,DL,NE,BUF,0.82,0.76,0.21,0.18,,,,,,,,,,0.18,0.65,,,3.15,96,20,0.00,-3.15
Dante Barnett,2574023,DL,GB,@DEN,,,,,,,,,,,,,,,,,,0.00,239,21,0.00,0.0
Derek Barnett,2557984,DL,HOU,ARI,0.12,0.24,0.12,0.06,,,,,,,,,,,0.18,,,0.74,197,22,0.00,-0.74
Tyler Baron,2574431,DL,NYJ,@JAX,0.29,0.35,0.12,,,0.06,0.06,,,,,,,,,,,1.16,174,23,0.00,-1.16
Alex Barrett,2559140,DL,FA,Bye,,,,,,,,,,,,,,,,,,,240,24,0.00,
Simeon Barrow Jr.,2573906,DL,FA,Bye,,,,,,,,,,,,,,,,,,,241,25,0.00,
Kyon Barrs,2573891,DL,FA,Bye,,,,,,,,,,,,,,,,,,,242,26,0.00,
Kyler Baugh,2573358,DL,PIT,MIA,,,,,,,,,,,,,,,,,,0.00,243,27,0.00,0.0
Robert Beal Jr.,2570299,DL,SF,TEN,0.3,0.12,0.06,,,,,,,,,,,,,,,0.64,207,28,0.00,-0.64
Travis Bell,2569612,DL,FA,Bye,,,,,,,,,,,,,,,,,,,244,29,0.00,
Keeanu Benton,2570260,DL,PIT,MIA,1.12,1.29,0.12,0.18,,0.06,0.06,,,,,,,0.35,0.47,,,4.34,54,30,0.00,-4.34
Zeek Biggers,2574319,DL,MIA,@PIT,0.18,0.12,,,,,,,,,,,,0.12,,,,0.64,208,31,0.00,-0.64
Andrew Billings,2555267,DL,CHI,CLE,1.07,0.66,,0.16,,,,,,,,,,,,,,2.24,139,32,0.00,-2.24
Diwun Black,2573924,DL,FA,Bye,,,,,,,,,,,,,,,,,,,245,33,0.00,
Yahya Black,2574489,DL,PIT,MIA,1.07,1.14,0.07,0.21,,,0.07,,,,,,,,0.14,,,2.88,115,34,0.00,-2.88
Philip Blidi,2574144,DL,FA,Bye,,,,,,,,,,,,,,,,,,,246,35,0.00,
