PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Nate Adkins,2570930,TE,DEN,CAR,,,,,,,,,,,,,0.00,1,0.00,0.0
Jordan Akins,2560951,TE,CLE,BAL,,,,,,,,,,,,,1.30,2,0.00,-1.3
Mo Alie-Cox,2558832,TE,IND,@HOU,,,,,,,,,,,,,1.97,3,0.00,-1.97
Erick All,2571916,TE,CIN,PHI,,,,,,,,,,,,,3.97,4,0.00,-3.97
Davis Allen,2570017,TE,LAR,MIN,,,,,,,,,,,,,1.48,5,0.00,-1.48
Mark Andrews,2560957,TE,BAL,@CLE,,,,,,,,,,,,,5.24,6,0.00,-5.24
AJ Barner,2572513,TE,SEA,BUF,,,,,,,,,,,,,0.64,7,0.00,-0.64
Brenden Bates,2572953,TE,NYJ,@NE,,,,,,,,,,,,,0.00,8,0.00,0.0
John Bates,2566580,TE,WAS,CHI,,,,,,,,,,,,,0.42,9,0.00,-0.42
Jaheim Bell,2572288,TE,NE,NYJ,,,,,,,,,,,,,0.50,10,0.00,-0.5
Daniel Bellinger,2567985,TE,NYG,@PIT,,,,,,,,,,,,,0.84,11,0.00,-0.84
Luke Benson,2573782,TE,FA,Bye,,,,,,,,,,,,,,12,0.00,
Brock Bowers,2572219,TE,LV,KC,,,,,,,,,,,,,10.30,13,0.00,-10.3
Shawn Bowman,2573689,TE,JAX,GB,,,,,,,,,,,,,0.00,14,0.00,0.0
Pharaoh Brown,2559018,TE,SEA,BUF,,,,,,,,,,,,,1.00,15,0.00,-1.0
Harrison Bryant,2563767,TE,LV,KC,,,,,,,,,,,,,3.33,16,0.00,-3.33
Lawrence Cager,2565492,TE,FA,Bye,,,,,,,,,,,,,,17,0.00,
Grant Calcaterra,2568063,TE,PHI,@CIN,,,,,,,,,,,,,0.00,18,0.00,0.0
Sal Cannella,2567197,TE,FA,Bye,,,,,,,,,,,,,,19,0.00,
Stephen Carlson,2563044,TE,CHI,@WAS,,,,,,,,,,,,,0.00,20,0.00,0.0
McCallan Castles,2572732,TE,FA,Bye,,,,,,,,,,,,,,21,0.00,
Tyler Conklin,2561027,TE,NYJ,@NE,,,,,,,,,,,,,5.01,22,0.00,-5.01
Tanner Conner,2569017,TE,MIA,ARI,,,,,,,,,,,,,0.00,23,0.00,0.0
Devin Culp,2572543,TE,TB,ATL,,,,,,,,,,,,,0.27,24,0.00,-0.27
Baylor Cupp,2572820,TE,KC,@LV,,,,,,,,,,,,,0.00,25,0.00,0.0
Zach Davidson,2566301,TE,BUF,@SEA,,,,,,,,,,,,,0.00,26,0.00,0.0
Tyler Davis,2564178,TE,GB,@JAX,,,,,,,,,,,,,0.00,27,0.00,0.0
Josiah Deguara,2563980,TE,JAX,GB,,,,,,,,,,,,,0.00,28,0.00,0.0
Will Dissly,2561046,TE,LAC,NO,,,,,,,,,,,,,3.66,29,0.00,-3.66
Greg Dulcich,2567520,TE,DEN,CAR,,,,,,,,,,,,,0.39,30,0.00,-0.39
Payne Durham,2570353,TE,TB,ATL,,,,,,,,,,,,,0.83,31,0.00,-0.83
Ross Dwelley,2561060,TE,ATL,@TB,,,,,,,,,,,,,0.00,32,0.00,0.0
Evan Engram,2557858,TE,JAX,GB,,,,,,,,,,,,,8.05,33,0.00,-8.05
Zach Ertz,2540158,TE,WAS,CHI,,,,,,,,,,,,,5.00,34,0.00,-5.0
Gerald Everett,2557889,TE,CHI,@WAS,,,,,,,,,,,,,0.94,35,0.00,-0.94
Michael Ezeike,2571303,TE,FA,Bye,,,,,,,,,,,,,,36,0.00,
Mason Fairchild,2573888,TE,FA,Bye,,,,,,,,,,,,,,37,0.00,
Noah Fant,2562383,TE,SEA,BUF,,,,,,,,,,,,,5.90,38,0.00,-5.9
Princeton Fant,2570891,TE,DAL,@SF,,,,,,,,,,,,,0.00,39,0.00,0.0
Luke Farrell,2566160,TE,JAX,GB,,,,,,,,,,,,,1.16,40,0.00,-1.16
