PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Zane Gonzalez,2558178,K,CAR,@ATL,1,,,2,,,2,,,,1,17.00
Jake Elliott,2558172,K,PHI,@DET,5,,,1,,2,,,,,2,16.00
Nick Folk,2507225,K,NE,@LAC,1,,,1,1,2,,,,,3,15.00
Joey Slye,2563132,K,WAS,@DEN,1,1,,1,1,1,1,,,,4,13.00
Randy Bullock,2533444,K,TEN,@IND,4,,,,,2,,,,,5,12.00
Greg Joseph,2561534,K,MIN,DAL,1,,,1,,2,,,,,6,12.00
Tyler Bass,2563596,K,BUF,MIA,2,,,,1,,1,,,,7,10.00
Younghoe Koo,2559205,K,ATL,CAR,1,,,,,1,1,,,,8,10.00
Matt Gay,2562271,K,LA,@HOU,5,,,1,,,,,,,9,9.70
Brian Johnson,2566740,K,NO,TB,3,1,,2,1,,,,,,10,9.00
Matt Ammendola,2565555,K,NYJ,CIN,2,,,2,,,,,,,11,8.00
Harrison Butker,2558245,K,KC,NYG,2,,,,2,,,,,,12,8.00
Cairo Santos,2550636,K,CHI,SF,1,1,,1,1,1,,,,,13,8.00
Greg Zuerlein,2534797,K,DAL,@MIN,2,,,,2,,,,,,14,8.00
Mike Badgley,2560965,K,IND,TEN,4,,,,1,,,,,,15,7.00
Dustin Hopkins,2539227,K,LAC,NE,3,,,,,1,,,,,16,7.00
Evan McPherson,2565953,K,CIN,@NYJ,4,,,1,,,,,,,17,7.00
Jason Myers,2553112,K,SEA,JAX,4,,,,1,,,,,,18,7.00
Chris Blewitt,2562800,K,FA,Bye,1,,,,,,1,,,,19,6.00
Mason Crosby,2507232,K,GB,@ARI,3,,,1,,,,,,,20,6.00
Brandon McManus,2541556,K,DEN,WAS,2,,,,,1,,,,,21,6.00
Graham Gano,71309,K,NYG,@KC,2,,,1,,,,,,,22,5.00
Chase McLaughlin,2563203,K,CLE,PIT,1,,,,1,,,,,,23,4.00
Jason Sanders,2561153,K,MIA,@BUF,,,,,,,1,,,1,24,4.00
Chris Boswell,2550545,K,PIT,@CLE,,,,,1,,,,,,25,3.00
Matt Prater,2506677,K,ARI,GB,3,,,,,,,,,,26,3.00
Ryan Succop,89802,K,TB,@NO,3,,,,,,,,,,27,3.00
Ka'imi Fairbairn,2556521,K,HOU,LA,2,,,,,,,,,,28,2.00
Matthew Wright,2562968,K,JAX,@SEA,1,,,,,,,,,,29,1.00
Roberto Aguayo,2555408,K,FA,Bye,,,,,,,,,,,30,0.00
Dan Bailey,2495259,K,FA,Bye,,,,,,,,,,,31,0.00
Rodrigo Blankenship,2564106,K,IND,TEN,,,,,,,,,,,32,0.00
Daniel Carlson,2560993,K,LV,Bye,,,,,,,,,,,33,0.00
Chandler Catanzaro,2550325,K,FA,Bye,,,,,,,,,,,34,0.00
Dominik Eberle,2565360,K,FA,Bye,,,,,,,,,,,35,0.00
Sam Ficken,2557430,K,TEN,@IND,,,,,,,,,,,36,0.00
Kai Forbath,2495150,K,FA,Bye,,,,,,,,,,,37,0.00
Stephen Gostkowski,2506922,K,FA,Bye,,,,,,,,,,,38,0.00
Robbie Gould,2506264,K,SF,@CHI,,,,,,,,,,,39,0.00
Lirim Hajrullahu,2563449,K,DAL,@MIN,,,,,,,,,,,40,0.00
Stephen Hauschka,2507374,K,FA,Bye,,,,,,,,,,,41,0.00
Alex Kessman,2566484,K,FA,Bye,,,,,,,,,,,42,0.00
Josh Lambo,2553833,K,FA,Bye,,,,,,,,,,,43,0.00
Ty Long,2553555,K,LAC,NE,,,,,,,,,,,44,0.00
Wil Lutz,2556601,K,NO,TB,,,,,,,,,,,45,0.00
Austin MacGinnis,2563452,K,FA,Bye,,,,,,,,,,,46,0.00
Brett Maher,2540243,K,FA,Bye,,,,,,,,,,,47,0.00
Tucker McCann,2565462,K,FA,Bye,,,,,,,,,,,48,0.00
JJ Molson,2565550,K,GB,@ARI,,,,,,,,,,,49,0.00
Chris Naggar,2565744,K,CLE,PIT,,,,,,,,,,,50,0.00
Quinn Nordin,2565684,K,NE,@LAC,,,,,,,,,,,51,0.00
Mike Nugent,2506386,K,FA,Bye,,,,,,,,,,,52,0.00
Cody Parkey,2550380,K,FA,Bye,,,,,,,,,,,53,0.00
Aldrick Rosas,2556771,K,FA,Bye,,,,,,,,,,,54,0.00
Ryan Santoso,2561269,K,DET,PHI,,,,,,,,,,,55,0.00
Austin Seibert,2562729,K,DET,PHI,,,,,,,,,,,56,0.00
Giorgio Tavecchio,2535686,K,FA,Bye,,,,,,,,,,,57,0.00
Justin Tucker,2536340,K,BAL,Bye,,,,,,,,,,,58,0.00
Jake Verity,2566731,K,BAL,Bye,,,,,,,,,,,59,0.00
Tristan Vizcaino,2562807,K,LAC,NE,,,,,,,,,,,60,0.00
Brandon Wright,2564247,K,FA,Bye,,,,,,,,,,,61,0.00
